true_label,predict_label_1,predict_label_2,predict_label_prob1,predict_label_prob2
11,0,11,0.551642478,0.333976954
1,1,7,0.518517673,0.459361434
1,1,7,0.563872814,0.373395085
1,7,1,0.64333868,0.346645534
4,4,3,0.462965399,0.319317758
4,11,4,0.417269439,0.410581321
4,11,8,0.376414359,0.307652175
1,7,1,0.515116572,0.471385717
1,4,1,0.388947427,0.336287111
5,0,5,0.554191828,0.364303976
13,0,13,0.431634158,0.297641218
5,5,3,0.419806302,0.238679439
5,5,0,0.395209312,0.386514068
7,7,1,0.617610812,0.360295236
4,3,4,0.519866168,0.344378173
5,5,6,0.49533996,0.433086097
5,4,5,0.595490932,0.379030555
1,1,4,0.535059512,0.388550907
9,9,0,0.567683399,0.380628198
5,5,4,0.47685793,0.464067817
1,9,1,0.602909982,0.32912752
0,0,1,0.559170544,0.422432572
4,4,0,0.40135625,0.317255706
0,0,1,0.57769984,0.34936285
5,5,10,0.486081183,0.384163558
1,1,0,0.516965628,0.431018472
0,0,8,0.608270109,0.322770417
0,0,3,0.561361909,0.39166221
6,6,5,0.59544754,0.319607526
0,0,1,0.521662533,0.46260041
4,0,4,0.517489374,0.429249883
4,0,4,0.610533774,0.362012953
6,5,6,0.519591451,0.428540975
8,8,5,0.547028124,0.287241399
1,1,8,0.542940617,0.357370466
1,7,1,0.566622674,0.422250003
9,9,0,0.510699689,0.391594023
4,5,4,0.581270874,0.364701688
7,10,7,0.448953986,0.348187178
1,1,7,0.641408205,0.348241568
7,1,7,0.633556187,0.350271583
5,3,0,0.448954344,0.247561112
0,5,0,0.504653454,0.356217593
6,3,6,0.448289394,0.360395938
5,5,0,0.533388495,0.426793277
7,7,1,0.515345335,0.440495819
5,4,1,0.456379414,0.168569431
4,4,5,0.529711545,0.360433936
1,1,7,0.626520813,0.362971961
1,1,7,0.418011039,0.364759713
4,0,4,0.633311391,0.336451828
0,0,9,0.530460179,0.433677524
4,4,1,0.4794572,0.363036573
4,4,5,0.477410197,0.334648013
5,5,4,0.429742575,0.408305556
0,0,5,0.465041161,0.356675833
1,1,0,0.505946994,0.26526317
0,5,0,0.573560715,0.385569602
9,0,9,0.584296644,0.387541831
6,5,6,0.476729184,0.197030723
5,6,5,0.209694207,0.203123331
0,6,5,0.550834775,0.371456772
9,9,0,0.567243516,0.405657321
1,7,1,0.535812616,0.432049096
2,5,10,0.276855052,0.258464396
5,3,5,0.474974066,0.419608802
1,1,7,0.520276964,0.468374521
1,7,1,0.573467791,0.413548052
7,0,10,0.399779707,0.298297882
8,8,0,0.439030349,0.314663559
1,1,7,0.54020822,0.442015052
3,2,3,0.601703703,0.382342339
0,0,4,0.537603557,0.445622712
1,0,1,0.635606647,0.344963372
5,1,4,0.424249053,0.198314503
7,5,7,0.4329319,0.419657767
1,1,7,0.519856632,0.463950276
4,1,4,0.531057954,0.434031457
2,2,3,0.190488964,0.185838163
4,4,5,0.611486673,0.343459934
4,4,0,0.638146579,0.345307112
8,0,8,0.585728645,0.355222076
9,0,9,0.535143375,0.389507353
1,1,0,0.573008776,0.393113911
9,0,9,0.607735395,0.365126669
0,2,3,0.36794889,0.268516481
5,5,4,0.409315169,0.362464935
4,4,0,0.583526194,0.398645908
0,0,3,0.561244845,0.355277807
4,5,4,0.541766107,0.425627351
0,0,1,0.552372277,0.433672786
0,9,0,0.493434191,0.485545427
5,5,1,0.498449862,0.210632429
1,4,1,0.614745855,0.33052659
0,1,0,0.544908166,0.440624058
3,5,3,0.47110638,0.260922164
2,2,9,0.216825783,0.20771578
13,11,13,0.543448985,0.332569569
7,0,4,0.44890362,0.389119148
2,12,2,0.513055921,0.386374712
0,0,4,0.61241889,0.366445214
4,6,4,0.332864404,0.258281797
1,1,0,0.642073154,0.345011264
1,1,10,0.476153076,0.40309149
